method,height,width,channels,filters,kernel,stride,padding,block_x,block_y,output_height,output_width,warmup,runs,mean_ms,min_ms,max_ms,gflops,verified,status
direct,2048,2048,3,3,3,1,1,32,8,2048,2048,3,10,1.020010,1.014784,1.034240,666.147902,true,ok
direct-shared,2048,2048,3,3,3,1,1,32,8,2048,2048,3,10,1.539565,1.532928,1.553408,441.343711,true,ok
direct,2048,2048,3,3,3,1,1,32,16,2048,2048,3,10,1.170611,1.165312,1.184768,580.446556,true,ok
direct-shared,2048,2048,3,3,3,1,1,32,16,2048,2048,3,10,1.760019,1.745920,1.801216,386.062410,true,ok
im2col,2048,2048,3,3,3,1,1,16,16,2048,2048,3,10,9.282218,9.119744,9.349024,73.202038,true,ok
cudnn,2048,2048,3,3,3,1,1,0,0,2048,2048,3,10,2.062515,2.060288,2.067456,329.441092,true,ok
direct,2048,2048,3,3,3,2,0,8,8,1023,1023,3,10,0.666602,0.665888,0.667456,254.331368,true,ok
direct-shared,2048,2048,3,3,3,2,0,8,8,1023,1023,3,10,0.670816,0.666624,0.678912,252.733532,true,ok
direct,2048,2048,3,3,3,2,0,16,16,1023,1023,3,10,0.668957,0.667648,0.670624,253.435944,true,ok
direct-shared,2048,2048,3,3,3,2,0,16,16,1023,1023,3,10,0.672493,0.669696,0.679936,252.103367,true,ok
direct,2048,2048,3,3,3,2,0,32,8,1023,1023,3,10,0.670598,0.667648,0.679904,252.815542,true,ok
direct-shared,2048,2048,3,3,3,2,0,32,8,1023,1023,3,10,0.675027,0.670720,0.695168,251.156840,true,ok
direct,2048,2048,3,3,3,2,0,32,16,1023,1023,3,10,0.676954,0.671616,0.695296,250.442124,true,ok
direct-shared,2048,2048,3,3,3,2,0,32,16,1023,1023,3,10,0.681344,0.678656,0.699360,248.828343,true,ok
im2col,2048,2048,3,3,3,2,0,16,16,1023,1023,3,10,2.110778,2.097920,2.168832,80.320019,true,ok
cudnn,2048,2048,3,3,3,2,0,0,0,1023,1023,3,10,0.862400,0.840512,0.951296,196.588241,true,ok
direct,2048,2048,3,3,3,2,1,8,8,1024,1024,3,10,0.670224,0.666528,0.693280,253.451551,true,ok
direct-shared,2048,2048,3,3,3,2,1,8,8,1024,1024,3,10,0.667600,0.665600,0.669472,254.447737,true,ok
direct,2048,2048,3,3,3,2,1,16,16,1024,1024,3,10,0.671014,0.667648,0.679936,253.153004,true,ok
direct-shared,2048,2048,3,3,3,2,1,16,16,1024,1024,3,10,0.669760,0.668672,0.670720,253.627140,true,ok
